Exposure	ARG	Health	Coefficient	F.value	P.interaction
Biofuel_exposure	APH(3')-IIIa	Dyspnea	0.0281529984566775	5.18169876732692	0.023018197643603
Biofuel_exposure	catB2	CAT_score	0.263026028640024	18.3225809194196	2.02798014314805e-05
Biofuel_exposure	dfrA12	CAT_score	0.197167452345276	6.41537706319833	0.0114522334281845
Biofuel_exposure	eptA	CAT_score	0.133928647233443	5.01353903796088	0.0253498621334774
Biofuel_exposure	floR	COPD_diagnosis	0.0398334741925478	5.41335442192054	0.0201648367254664
Biofuel_exposure	FosA6	A_FEV1_FVC_Post	-0.149103920262577	7.15719557526219	0.00757761738385318
Biofuel_exposure	LpsA	CAT_score	0.161946676838108	5.69332505311841	0.0171985359424737
Biofuel_exposure	LptD	COPD_diagnosis	0.0503515056339823	8.73362305561277	0.00319076363072034
Biofuel_exposure	MexZ	CAT_score	0.128800166665196	4.29910505436663	0.0383656108045357
Biofuel_exposure	MuxA	CAT_score	0.166260763101449	7.38196848478254	0.00669187172819939
Biofuel_exposure	opmE	CAT_score	0.187888313219145	7.61541635801292	0.00588356753709428
Biofuel_exposure	OXA-894	A_FEV1_FVC_Post	-0.109254218454586	4.00482542600403	0.0456164034026065
Biofuel_exposure	TEM-116	CAT_score	0.181786607556506	6.57859239181379	0.0104534751578189
CO_M_D10K	Erm(31)	COPD_diagnosis	0.0195997956376163	6.19515371583406	0.0129575674384263
CO_M_D10K	ICR-Mc	Wheeze	0.0132032908652376	3.90716289982152	0.0483310617168935
CO_M_D10K	mexX	CAT_score	0.0948000009425041	8.74593476120967	0.00316946443913537
CO_M_D10K	MexZ	CAT_score	0.0853149807013828	8.67241700072729	0.00329883265661404
CO_M_D10K	PmpM	Wheeze	0.0203357630354298	5.97265541661508	0.0146862222533187
CO_M_D10K	TEM-235	Rhinitis	0.0165447845578034	4.14610505972621	0.0419704447208134
CO_M_D10K	tet(30)	Rhinitis	0.0178035259870856	5.00310732258916	0.0255023604377629
CO_M_D10K	tet(W/N/W)	Rhinitis	0.0160194980175646	4.15752566843285	0.04168944282982
CO_M_D10K	tet(X3)	Rhinitis	0.0196156700792562	4.79554925913309	0.0287435652764524
NO2_M_D10K	AAC(3)-Ib	Rhinitis	0.0199828249532903	6.89274601798718	0.00877513367043855
NO2_M_D10K	AAC(3)-IIb	Phlegm	0.0266128045900317	6.83121673105737	0.00908057002304819
NO2_M_D10K	AAC(6')-Isa	Allergic_rhinitis	0.0172357981750374	5.31252066157848	0.0213588690043357
NO2_M_D10K	ANT(6)-Ib	Rhinitis	0.0199305966073115	4.91100643499324	0.0268908957354331
NO2_M_D10K	APH(6)-Ic	Asthma	0.00912346386368411	6.92703253322153	0.00860952313242638
NO2_M_D10K	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	Wheeze	0.0154562554319699	4.23176010043032	0.0399104925701909
