Y	X	lm.coef	lm.pval	lm.r2
total	Biofuel_exposure	-0.00710999087602106	0.16916423114339	0.00171623016939842
total	CI_M	-0.00545288797292635	0.0280582680567816	0.00437430511052088
total	CO_M_D10K	0.000478022701828741	0.847435332052011	3.36337755804593e-05
total	NH4_M	0.00251262728891047	0.311763676321711	0.000929317322013573
total	NO2_M_D10K	-0.00535515435135405	0.0309809073772956	0.00422007450391497
total	NO3_M	-0.00436971161707749	0.0784898923116628	0.00280921908678704
total	O3_M_D10K	-0.00576053570986887	0.0204165933900242	0.00487306430057486
total	Occupational_pollution	0.00775083242836542	0.1187868599824	0.00220859189906906
total	PM1_M	-0.00600951848155789	0.0154364320360008	0.0053160863744841
total	SHS_binary	-0.00891646522609097	0.0919839867259691	0.00257668781523556
total	Smoking_binary	0.0167655970395278	0.00130797429422801	0.00934383579089257
total	SO2_M	-0.000211967041876199	0.932047863444878	6.60673092649156e-06
total	SO4_M_D10K	-0.0010158776993002	0.682623196644679	0.000151908391882087
total	year2pm10	-0.00851649993290568	0.000588517583944952	0.0106758564091088
total	year2pm25	-0.00622761914758104	0.0120707200936552	0.00570872232070732
aminocoumarin	Biofuel_exposure	-0.0105208604092134	0.0883833307903443	0.00263493633344755
multidrug	Biofuel_exposure	0.00552586656390742	0.199353191169348	0.00149556963683844
quinolone	Biofuel_exposure	-0.0168010454863196	0.0284615321385475	0.00435205611190817
aminoglycoside	Biofuel_exposure	-0.0192109142719979	0.00166850188584577	0.00893988364318036
MLS	Biofuel_exposure	0.00354761671601528	0.572713054310955	0.000289066847554001
beta_lactam	Biofuel_exposure	-0.0194420680235651	1.37441491327013e-05	0.0170312198694331
tetracycline	Biofuel_exposure	-0.00614930352873839	0.336009310633665	0.00084071702096423
peptide	Biofuel_exposure	-0.017828680183459	0.0172100017132059	0.00514331905213397
phosphonic acid	Biofuel_exposure	0.0269456242899735	0.0186307613625734	0.00501766806079034
diaminopyrimidine	Biofuel_exposure	-0.0289986168692055	0.00875061039168592	0.00623155226644893
rifamycin	Biofuel_exposure	0.0142162288706528	9.02836051913911e-07	0.0216832391742447
phenicol	Biofuel_exposure	0.0122244962049465	0.214692248660629	0.00139920185938469
aminoglycoside	CI_M	0.00649784886833434	0.0270410673381456	0.00443193606143579
aminocoumarin	CI_M	-0.0021506710846385	0.468630319202549	0.00047712709235741
tetracycline	CI_M	-0.0108647766790974	0.000388394493087314	0.0113725554642005
rifamycin	CI_M	-0.00536095380660928	0.000119310462135326	0.0133615842091867
beta_lactam	CI_M	0.0129470157043195	1.43572388795159e-09	0.032727939570636
quinolone	CI_M	-0.00623785186456777	0.090547578937593	0.00259962354010796
phosphonic acid	CI_M	-0.0248988241717818	5.59159910446198e-06	0.0185652832770168
diaminopyrimidine	CI_M	-0.00303095719332864	0.568895224079468	0.000295121955885409
phenicol	CI_M	-0.0105325651936263	0.0258432504620443	0.00450684366536568
MLS	CI_M	-0.00535027472136091	0.0764021303470675	0.00284902028763851
multidrug	CI_M	-0.00778371170893321	0.000160674169474158	0.0128587221701572
peptide	CI_M	-0.00476608243615905	0.185347704195239	0.00159274647288366
aminoglycoside	CO_M_D10K	0.00577473358687073	0.0494227524981374	0.00350219913930913
quinolone	CO_M_D10K	0.00425965638944912	0.247817212073025	0.00121286409181709
beta_lactam	CO_M_D10K	0.0005427657860812	0.80130363033763	5.75475578881415e-05
tetracycline	CO_M_D10K	0.00240280465797443	0.433805234695295	0.000556513933433684
rifamycin	CO_M_D10K	-0.00182968255654783	0.190331635873026	0.00155721283505625
phenicol	CO_M_D10K	0.0128707895873454	0.00641199861298868	0.00673547605478924
aminocoumarin	CO_M_D10K	-0.00253302586475379	0.393210570744746	0.000662198191478868
peptide	CO_M_D10K	0.000625228990085373	0.862082244795554	2.74235972623538e-05
diaminopyrimidine	CO_M_D10K	0.00728141452624961	0.171280258968309	0.0017008727670027
multidrug	CO_M_D10K	-0.00140312575435964	0.497543162768182	0.000418061502461049
phosphonic acid	CO_M_D10K	-0.00287201091605328	0.60198761501544	0.000247137547390927
MLS	CO_M_D10K	0.00934160587985725	0.00194058065244001	0.00868978666275873
peptide	NH4_M	0.00545426843067105	0.129433805503492	0.00208712535787046
MLS	NH4_M	0.0023329567269825	0.439860703079834	0.000542011760980629
rifamycin	NH4_M	-0.00380315439740437	0.00641573779721076	0.00672842945418278
