Health	Exposure	ARG	Coefficient	F.value	P.interaction
A_FEV1_FVC_Post	PM1_M	MLS	-0.488320219797701	3.22688735939303	0.0727135496457142
A_FEV1_FVC_Post	year2pm10	total	-0.589313725680534	3.35511417381104	0.0672678488833574
Allergic_rhinitis	CI_M	MLS	0.117070199924436	2.89842763351521	0.0889495602822772
COPD_diagnosis	PM1_M	MLS	0.143996838196489	2.9354698188933	0.0869362407284501
COPD_diagnosis	year2pm25	MLS	0.147808173316921	3.10432280043873	0.0783634484729224
COPD_diagnosis	year2pm10	MLS	0.142504997857051	2.83309640147038	0.0926249582249283
Cough	NH4_M	total	0.19063403738505	4.62253927548059	0.0317727772621358
Cough	NH4_M	MLS	0.120962741279695	2.83633181032715	0.0924391054507433
Cough	CO_M_D10K	total	0.197383652755498	5.05814707746611	0.0247083700497343
Cough	Occupational_pollution	MLS	0.239993823164187	2.87618890993353	0.0901825542198849
Cough	SO4_M_D10K	total	0.178864540206138	4.4090346327076	0.0359772283846206
Cough	SO4_M_D10K	MLS	0.13280578676187	3.35161458645179	0.0674105285472611
Cough	PM1_M	total	0.18233455454664	4.4796625457603	0.0345254043271958
Cough	year2pm25	total	0.248364108204842	8.32581522248241	0.00398514761403091
Cough	year2pm10	total	0.170971696431009	4.09015857155799	0.0433760962043471
Cough	NO2_M_D10K	total	0.188912046811069	4.73083282024917	0.0298397695635069
Dyspnea	Biofuel_exposure	total	0.387785959548772	6.30971324619011	0.0121506592231991
Dyspnea	Biofuel_exposure	MLS	0.278907151000602	4.50020884547116	0.0341146763172636
Dyspnea	Occupational_pollution	MLS	0.207908645154781	2.85508463289266	0.0913698392907306
FEV1pred_post	PM1_M	MLS	-0.61859183787835	4.44197942515628	0.035292217632646
FEV1pred_post	year2pm25	MLS	-0.511649809550886	3.04411362117677	0.0813106296546505
Phlegm	NO2_M_D10K	total	0.196502313337591	2.87374155911425	0.0903193739500935
Wheeze	NO2_M_D10K	total	0.165173949327666	3.3626760003355	0.0669606525158253
