Sample	total	multidrug	peptide	tetracycline	quinolone	aminocoumarin	MLS	beta_lactam	aminoglycoside	rifamycin	phosphonic acid	diaminopyrimidine	phenicol
S1	0.702082923898396	0.612951042037354	0.763721302180474	0.803511406639387	0.760179087235636	0.75883750426536	0.575594073310902	0.730892356054417	0.873061073563979	0.69488703801709	0.54272043745728	0.593558343120068	0.680988824633353
S100	0.605214988234522	0.57191677546385	0.587239439174298	0.603026131678822	0.555653438386182	0.683182785443797	0.584303103997752	0.601694582956379	0.64149911981644	0.839984641350904	0.740115425343029	0.331739055643439	0.564785645862632
S1001	0.515555058920538	0.407510479384034	0.544776095947724	0.553750846924974	0.587621418411738	0.580840599054814	0.426259871137907	0.791588282775292	0.817780382859381	0.712707043977408	0.289479543899097	0.268658872889185	0.412765878809159
S1005	0.496243285818481	0.388763689855869	0.518938573566058	0.526299510378264	0.588869156230316	0.417203395122819	0.451670739159735	0.89333843337144	0.744406595061814	0.69276230204591	0.452704673624165	0.340700213216497	0.344592883373433
S1006	0.554295732330119	0.426573279219625	0.590511953115094	0.662972779901786	0.611232018699947	0.652770731325293	0.368971318724968	0.800778597932104	0.820707882206172	0.687922236011629	0.414018311308756	0.269361532675545	0.55759854120694
S1007	0.553873359086609	0.442230520472687	0.584492693765804	0.585214037798535	0.593573824934115	0.72148524163288	0.513786966804479	0.801930981862864	0.819662683043783	0.681287657130657	0.24342864341057	0.28882592227197	0.569130229959354
S101	0.596971154219216	0.589030196511	0.569765390659295	0.622755841728889	0.534795081647721	0.705248752699659	0.545453784621153	0.576883685549589	0.522533692425122	0.81760695637666	0.721333748630593	0.202945632710887	0.597458518955307
S1013	0.714256958436295	0.517676936972736	0.819492881056112	0.626395795773098	0.782485907788289	0.724922676518022	0.504990141427911	0.90024663211706	0.932076330724608	0.644764609850948	0.176292847235982	0	0.524591611479029
S1014	0.563442010173598	0.424318299701139	0.591499123789733	0.621034076285025	0.608584636374376	0.639096472388126	0.476584534057189	0.810674577704345	0.845948728403241	0.71067735036475	0.245620210833339	0.355730082096692	0.508375406974001
S1015	0.581740431406006	0.414101139637867	0.631908456841439	0.642583418842161	0.561978286610299	0.675607211655159	0.615167265588346	0.833157041490247	0.841329186415741	0.674716697128326	0.3581582871831	0.42164702326987	0.538274408044113
S1016	0.576252516192024	0.446406601188341	0.579781621654267	0.678513278603296	0.696121816016519	0.663980917360635	0.514029294356234	0.76907597570331	0.884462776889701	0.709665141239086	0.348842678747166	0.41921347984487	0.387608110567299
S1022	0.695024369208641	0.530156668991301	0.798597461351145	0.804815528881819	0.717197015781994	0.79802514933011	0.562293403851485	0.787757996248977	0.854102796959853	0.672182078717679	0.465202183648786	0.546427381745503	0.595341142485441
S1026	0.569828971270922	0.457880211644934	0.663176258242012	0.607253140499582	0.477439683417995	0.808220299943697	0.682238762603291	0.694217813516986	0.824832137437703	0.692601518549391	0.147977303511844	0.537211844550951	0.680525201475208
S103	0.601755976017768	0.548193267427309	0.600041115376071	0.648373256737659	0.544391030301139	0.726820331989052	0.471375974618191	0.594147401786328	0.641124368989201	0.765146691270429	0.743426310440397	0.353883502388224	0.5297356172035
S1033	0.616977956036833	0.480195548711801	0.65636252179382	0.750333683776238	0.668245863239411	0.75113719379301	0.351348268142085	0.751884332437624	0.877733977042906	0.670275382829618	0.321998200453405	0.436007898043439	0.652710643540897
S1034	0.688726016660097	0.507127270877757	0.781928570302524	0.840264440370627	0.790539876094011	0.79575436651799	0.498914438626187	0.753041996666534	0.894010650805727	0.696671136337785	0.469327974868043	0.358660528680905	0.495655110310671
S1038	0.630799397308899	0.458156889657174	0.704596892973179	0.73913771664619	0.687440571599337	0.736586494386329	0.436606250922493	0.795087272284825	0.873981543163004	0.690035131731245	0.353860739067291	0.360148449369241	0.72603644252991
S1039	0.616489660840482	0.507095844208326	0.661392629969013	0.687497016926348	0.721490106269396	0.704528010588298	0.418517722147917	0.75071513312167	0.833451270322902	0.67316982217088	0.327708034945869	0.227137463659262	0.397872530615893
S104	0.593080754358356	0.581745236343087	0.556882839433945	0.614564207702839	0.569207598588906	0.645766434548832	0.523420820852234	0.565020896302788	0.636116102801989	0.79862055103723	0.668769968077592	0.443902641858876	0.61519555118116
S1040	0.391376512731814	0.283841752918007	0.326986408805244	0.52693160620026	0.530445973494905	0.194693169180867	0.731126503172447	0.62638104916882	0.215621957947702	0.689609848072809	0.497423787664783	0.774870566886637	0.593501173902742
S1042	0.77416357530058	0.561836126125687	0.950336409950701	0.895888426325302	0.984171516596008	0.86923101538482	0.519144836818873	0.799502898568376	0.938795428277899	0.683604398703516	0.435609044493071	0.746551847718127	0.60390309893028
S1043	0.517273615785026	0.503393389966976	0.498486736672735	0.673663943428318	0.624995441612166	0.509377602020962	0.359429130465487	0.669197520885683	0.755733101034385	0.691878098239606	0.228321103101933	0.384823395693839	0.664480301905641
S1048	0.602207009346007	0.448434287319006	0.69382793276948	0.677493963743916	0.689717193647769	0.732893679700053	0.457506638078724	0.821121263812512	0.881044855934102	0.68084176081468	0.324473965434646	0.336574898415742	0.351889338731444
S1049	0.655506944382017	0.49212305782876	0.743887093463975	0.772851276009644	0.696835073223795	0.802366059059118	0.613043963868374	0.711818306049224	0.81634658948833	0.709337249125559	0.308048032139152	0.447895244508344	0.445589935396124
S105	0.716825224011097	0.545912733531665	0.834794627994146	0.81690244001805	0.901056230962761	0.842239211375891	0.39842878603422	0.786522268533996	0.915620797848499	0.68477308866559	0.426348034391817	0.560079095883938	0.49544369042579
S1050	0.65291372565425	0.519020519774796	0.746769602929033	0.764239408761958	0.678773787387827	0.790375191371863	0.462068939678718	0.780444482648464	0.808280992287249	0.683007459738819	0.176121630561905	0.14473785430056	0.496294277450041
S1051	0.609175072618102	0.480137837054389	0.648393543252424	0.677537521984484	0.702155136395749	0.773662401258058	0.529256044030508	0.769636472945136	0.82460822798504	0.693748440502716	0.300392588406745	0.633681717085872	0.645193443591258
S1052	0.675239377480184	0.526119522175086	0.740262067999012	0.790232229112091	0.70720552460907	0.833340017708452	0.379203884900184	0.712063648537244	0.852127334858732	0.688541572287155	0.65890891274058	0.196411954381181	0.584993262639873
