Sample	total
B146	0.375256826602022
B147	0.438022220241118
B149	0.407900503862243
B150	0.455086731442039
B151	0.5572906251945
B152	0.448589245476527
B153	0.494199215843056
B155	0.353316927357332
B156	0.402290444658585
B157	0.405949141671778
B158	0.43173280376964
B159	0.461651727374795
B182	0.379711290195492
B184	0.388092633019959
B187	0.454524902289279
B192	0.32486805724321
B193	0.449587937452015
B194	0.40474731870722
B195	0.474729470540148
B196	0.813207260167261
B197	0.315019492510772
B198	0.308279056728754
B199	0.425813985312229
B200	0.589559561382213
