ARGsubtype	ARGtype	B146	B147	B149	B150	B151	B152	B153	B155	B156	B157	B158	B159	B182	B184	B187	B192	B193	B194	B195	B196	B197	B198	B199	B200
AAC(3)-IIc	aminoglycoside	0	2.88980853624242	0	3.87130571276229	3.29409851797097	1.48868169822939	4.03916838691715	4.29873901042946	0	0.763839509688502	0	1.16651817636661	2.68949354343221	1.70104041003184	0	0	2.85256126442001	0	7.20682401448006	5.99835225449277	0	0	0	2.75091876321844
AAC(6')-Isa	aminoglycoside	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.83946767712676	0	0	0	0
AAC(6')-Ix	aminoglycoside	0	0	0	7.13434899542338	0	0	0	0	0	1.87688531740797	0	0	0	2.08987472460568	0	0	0	0	0	0	0	0	0	0
ACT-47	beta_lactam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.80655143746742	0	0	0	0	0	0	0	0	0
ACT-66	beta_lactam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACT-67	beta_lactam	0	0	0	0	21.9309113148196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APH(3'')-Ib	aminoglycoside	0	0	0	0.949348833844313	3.23120809218927	0	7.92514849909828	0	0	1.49851280486877	1.31577535748634	0	0	0	0	0.866565386552209	2.79810060044501	0	3.53461621556414	0	0	0	0	2.69839864235204
APH(3')-IIIa	aminoglycoside	0	12.3316391097651	0	0	0	0	11.4516051093479	4.13172805614511	0	0	0	0	0	0	0	0	0	0	14.9946935667633	0	0	0	0	0
APH(3')-IIa	aminoglycoside	0	7.00532533708301	0	1.88471462331848	3.20741171486647	7.52905761877988	0.851393336458027	8.70813558566082	0	0	0	3.40746098886035	1.74581159836828	1.0752190414288	0	2.48846946090926	2.77749386272474	0	7.01624107808063	0	0	3.45487711892015	4.12157918075129	0
APH(3')-IIb	aminoglycoside	0	0	0	3.02682971169405	0	0	6.12961518365497	0	0.371240759441892	0	0	3.64822841432301	0	0	1.98066787100861	0	2.22994340330047	0	0	0	0	0	0	0
